"Anglais","Français"
"Export Configuration","Configuration de l'export"
"Global","Global"
"Ip authorised to export","Ip autorisée pour l'export"
"Authorized acces to catalog export by IP, separated by ;","Autoriser l'accès de l'export du catalogue aux IPs séparées par des ;"
"Export only selected product","Exporter uniquement les produits sélectionnés"
"Export out of stock product","Export des produits dont les stocks sont à 0"
"Product type to export","Type de produit à exporter"
"Status of product to export","Statut des produits à exporter"
"Level max for category","Niveau maximum de profondeur de catégorie"
"Merge images with parents products if exist","Fusionner les images avec les parents si ils existent"
"Convert data","Convertir les données"
"Replace special chars with html chars","Remplacer les caractères spéciaux par des caractères html"
"Country shipping","Pays de livraison par défaut"
"Default country for shipping cost","Pays par défaut pour les frais de livraison"
"Delay of shipping","Délais de livraison"
"Shipping cost","Frais de la livraison"
"Default shipping cost if matching find","Coût par défaut de la livraison si aucune correspondance n'est trouvée"
"Shipping method","Méthode de transport"
"Default shipping method to calculate shipping cost","Méthode de transport par défaut pour calculer les frais d'envois"
"Export default format","Format d'export par défaut"
"Performances","Performances"
"Save feed on file","Sauvegarder le flux dans un fichier"
"Save the feed on a file","Sauvegarder votre flux dans un fichier"
"Active cron","Activer la tâche planifiée"
"Active the scheduled task for export your feed every 4h","Activer la tache planifiée de l'export toutes les 4h"
"Product attributes","Attributs produit"
"Select attributes to export","Sélectionner les attributs produits à exporter"
"Manage Products Export","Gestion des produits"
"Products","Produits"
"Feed configuration","Gestion des flux"
"Manage Orders","Gestion des commandes"
"Import orders from x days","Importer les commandes depuis x jours"
"Choose a number of days","Indiquer le nombre de jours "
"Auto import","Import automatique"
"Enable import every 30 minutes","Activer l'import automatique toutes les 30 min"
"Debug mode","Mode debug"
"Only for preproduction's mode : no sync orders with Lengow, import orders every time","Seulement pour un environnement de préproduction : ne synchronise pas les commandes avec Lengow et permet d'importer plusieurs fois une même nouvelle commande"
"Logs","Logs"
"Customer Account","Compte utilisateur"
"Lengow API","Lengow API"
"Customer ID","IdClient"
"Your Customer ID of Lengow","Votre ID client Lengow"
"Group ID","IdGroup"
"Your Group ID of Lengow","Votre ID groupe Lengow"
"Token API","Token API"
"Tracker Type","Type de tracker"
"Dashboard Lengow","Dashboard Lengow"
"ID","ID"
"Type","Type"
"Supplier","Diffuseur"
"Name","Nom"
"Products","Produits"
"Enable's products","Produits actifs"
"Select products to export","Sélectionner les produits actifs"
"Feeds management","Gestion des flux"
"Lengow information","Information Lengow"
"This order doesn't come from Lengow","Cette commande ne proviens pas de Lengow"
"Marketplace","Marketplace"
"Name","Nom"
